tic,tmag,ra,dec
383390264,8.7581,192.5892855,-88.1211107
383400718,15.0742,192.937207,-88.1092465
383480620,14.9549,200.2258127,-87.891485
954359238,16.9817,181.3996247,-87.242111
954359202,20.0714,181.6605286,-87.2710713
804446214,19.3691,128.4790619,-85.8921787
383502950,9.7081,201.2744305,-87.469736
383481021,9.5894,201.5055953,-84.0702488
374169080,13.6532,168.7515974,-84.1246754
451560695,16.7394,268.8400886,-84.0159948
954377028,18.5877,197.2876061,-86.0412073
309434633,11.5851,138.3218521,-83.1555649
446347773,13.8292,221.9322532,-82.7799275
451530135,15.0871,262.0138929,-84.2618147
322306553,9.2592,359.5752961,-86.4399472
322306585,19.9491,0.0148415,-86.5417058
322306554,13.6449,359.5300966,-86.4411077
274227061,16.051,31.8181262,-84.9721493
404874972,11.721,95.4923628,-84.7167322
407147727,9.0206,234.9888393,-82.8645553
468154863,14.0022,309.1002564,-87.2781975
383314165,14.2496,187.5768628,-84.6593872
384274480,14.6689,245.6353217,-81.1553313
383994191,14.6081,240.0125758,-82.3000409
276906598,13.6407,275.6049937,-82.9712909
383380013,14.9742,189.7819582,-84.8969737
415972031,11.3921,346.4955294,-86.5999802
309437026,14.09,138.7662511,-80.4656658
1205091905,20.5004,244.8880714,-84.3932315
256216396,15.8441,267.9735363,-82.8659183
384604627,13.203,254.73429,-80.7610857
675037921,13.1483,62.363735,-82.8151487
394805862,11.3097,160.8713574,-79.2844433
451526844,15.8202,259.8727585,-86.7922535
370249813,13.6249,55.6667625,-82.0326234
1688100822,14.7586,279.866883,-86.0903186
317351500,12.0783,63.8213554,-87.2733509
295781401,16.553,249.5102207,-84.1189611
410406738,14.0027,80.8928296,-83.9181189
1987649766,16.2225,309.1032486,-87.2774425
269742591,13.9525,65.814028,-81.9189492
276535525,16.247,264.0080449,-80.1618884
1987743366,18.886,310.6164438,-81.5842837
257659679,14.6623,140.0097223,-84.1908687
406778904,12.6906,224.6796734,-79.1958859
406778900,9.5918,224.6774338,-79.1918823
323969503,17.203,143.7937846,-81.8532315
394285286,13.8723,31.1852271,-81.5554044
384300484,17.478,246.3387408,-83.8435385
323008290,16.3408,126.1990922,-82.1368823
263079170,13.9098,17.6717425,-81.9340756
356750211,19.0552,174.9940519,-80.199834
273227122,13.9989,319.9424056,-82.6240365
323576359,10.152,135.5230455,-79.7763699
325565938,15.8502,86.412577,-89.3799241
323835893,16.2549,142.3314893,-78.5069924
323878806,14.3735,142.7282164,-81.2166711
325469904,13.0387,354.8265638,-81.6904061
276798717,17.3102,271.6288705,-81.4358945
322286307,11.6825,300.5504268,-83.446657
421801538,14.7997,331.6902316,-81.4623184
384343193,19.3932,247.2397741,-78.9272911
1987659592,19.9546,313.0195034,-86.2166978
1688100821,15.8494,279.8668742,-86.0898239
357962909,18.2649,193.3897948,-82.088523
323838188,7.6719,142.3743935,-81.2223509
354945352,11.4239,324.6939711,-80.8145315
370245152,14.3024,42.3592324,-80.7850791
354947728,13.9042,324.8092788,-80.8252386
273268932,13.9029,320.4509932,-83.108126
1309671934,19.0893,251.7351761,-78.8341567
323727241,19.1488,137.6753208,-78.9838903
394561630,15.1753,155.9161907,-83.080737
395826725,16.8641,209.3748532,-76.9013951
