tic,name,ra,dec,tmag,ctl,sector 
169535107,2982652206352410624,78.137499,-17.454582000000002,8.48,1,-1 
169530854,2982652275071888128,78.123817,-17.452479999999998,8.531,1,-1 
55937633,3185719600136840064,68.778419,-8.6934881,8.529,1,-1 
102062892,4933360553295799040,17.141092,-46.667889,6.715,1,-1 
269615583,3252923090855768064,61.22241999999999,-2.4271669,7.105,1,-1 
4699111,5175455696422545664,38.851974,-9.350771,7.124,1,-1 
212949412,2542373597009506944,7.9198709,-1.793722,7.021,1,-1 
121007190,5101109812531992192,55.343254,-19.584373,6.51,1,-1 
55440625,3194381724539017088,58.645653,-9.5203743,6.674,1,-1 
316920092,2987130414132474880,74.741348,-14.783717000000001,8.881,1,-1 
246896530,3179673591854139648,73.118128,-13.518548999999998,8.64,1,-1 
37860207,3198972700981234048,65.631284,-7.5508939,8.669,1,-1 
9805084,5181474045115843072,47.697096,-6.5749353,8.34,1,-1 
468310188,2721063370601057920,333.17336,7.1212841000000004,9.055,1,-1 
188968885,2983196121010613760,78.521711,-16.127557999999997,9.03,1,-1 
265720508,2707120399225065984,334.71371,4.1430852,8.777,1,-1 
93055873,2970256067444871808,84.402963,-18.489342,9.453,0,-1 
229076671,5092558979319804672,63.250995999999994,-19.854772,8.809,1,-1 
169529956,2983384893413084544,77.982247,-15.886301000000001,9.398,1,-1 
4741056,5177426566720238848,39.65031,-7.5301981,8.261,1,-1 
204613238,5129126605754957568,41.619122,-18.895453,8.188,1,-1 
55441489,3193559873957065472,58.78720799999999,-10.169955,9.128,1,-1 
24459844,2990015498284394240,80.00121800000001,-10.815574,9.441,1,-1 
406354252,2423072977623095040,5.5509974,-13.465678,8.405,1,-1 
80430430,4980890173221202816,11.151955000000001,-42.598515,7.902,1,-1 
1028816,2486925844095190784,33.83894,-7.1263186,8.43,1,-1 
388766485,2544163636298722816,9.6058265,1.277931,8.43,1,-1 
250133028,3203719155237119744,63.196334,-4.0094607,8.915,1,-1 
71091056,3172618094457352192,66.730051,-15.469714000000002,9.402,1,-1 
143353370,2985572234357326720,82.365723,-13.142145000000001,9.781,1,-1 
188987821,2981932575991267584,78.66249499999999,-17.219051999999998,10.061,1,-1 
420000810,2516948215250061568,35.094028,5.8830715,8.872,1,-1 
9148352,3245408684793798528,60.564186,-5.8967191,9.092,1,-1 
9967295,5162881269131403392,50.872983000000005,-11.258772,9.15,1,-1 
311085703,2409127734208414208,352.1461,-13.000025,8.415,1,-1 
382306185,2528797033588184960,11.08174,-4.399136799999999,8.39,1,-1 
399570739,6628071944405827712,339.12973999999997,-21.584985999999997,8.608,1,-1 
24375622,2674848702158008576,327.02718,-0.80955983,9.588,1,-1 
24607967,2988966044497883392,80.71606,-11.796596000000001,10.0,1,-1 
250383070,2491852583900640896,29.772879999999997,-4.6991117,8.755,1,-1 
257434109,2456987757379368064,23.143394,-12.852692999999999,8.718,1,-1 
56127663,3186195241994234880,70.76080400000001,-7.898486500000001,9.66,1,-1 
217899220,2811761951632907392,346.77248,12.159781,9.448,1,-1 
422837205,2743441391460193792,359.79315,4.723368499999999,8.644,1,-1 
152439649,2988096919213031808,75.646847,-12.522332,9.904,1,-1 
257191815,2712410493263719296,342.03097,6.9117693,9.442,1,-1 
137860799,5104479124177577472,48.229785,-18.438614,8.649,1,-1 
169396430,2987729922847457280,76.78824300000001,-13.568798000000001,9.792,1,-1 
332822190,2488152108797929984,33.905927,-5.4558749,9.064,1,-1 
415954741,2716402407667442944,342.4241,9.392188800000001,9.543,1,-1 
248655215,3204844780267292288,67.340092,-2.8297559,9.394,1,-1 
188627184,2405544971274027904,350.34307,-17.516258999999998,8.853,1,-1 
34147414,3190206672727634816,60.369999,-11.32381,9.568,0,-1 
346832357,2572981320666334848,23.067044,9.227804699999998,9.168,1,-1 
279068672,5182223980765557248,49.594941999999996,-4.4913779,9.434,1,-1 
422835643,2739496687336985984,359.58682999999996,2.2893027999999997,9.028,1,-1 
401396651,2745492873997988352,359.89693,6.8874222000000005,9.329,1,-1 
169451121,2982998926174605824,77.62530600000001,-16.13447,10.258,1,-1 
332862003,2492898356897645184,34.517629,-3.837342,9.069,1,-1 
9161614,3256702490277205376,60.853747999999996,-0.7792176,9.552,1,-1 
58733648,2546473882027914880,3.4680976,1.3158495000000001,9.414,1,-1 
442926120,2982114334711721856,80.821577,-17.194919,9.928,1,-1 
441515106,5104477754084350464,48.828301,-17.943447,9.211,1,-1 
422552180,2647513743579869568,352.72735,3.1848911,9.722,1,-1 
442926121,2982114339005991936,80.82305,-17.193946,9.756,1,-1 
257483561,5147686052794315904,30.545284999999996,-16.567597,9.222,1,-1 
38049612,3197608241410937216,68.007554,-8.887135699999998,10.069,1,-1 
332864335,2489889607752127360,34.682967,-4.0155411,9.592,1,-1 
120977099,5085674696501016192,54.766521,-23.692803,9.247,1,-1 
28077586,2346216668164370432,13.55613,-22.885499,9.01,1,-1 
204613241,5129126330877050240,41.644124,-18.904851,9.363,1,-1 
250102170,2639255139944913792,355.02552000000003,-4.048744200000001,9.312,1,-1 
24405785,3207540400526530048,79.410325,-6.839492599999999,10.186,0,-1 
65346691,5070969209513725568,39.652254,-25.252106,8.965,1,-1 
404470511,2735657124012552192,334.01212000000004,15.208739000000001,10.774,1,-1 
423327064,2757862070573421568,352.91373,7.960561599999999,9.842,1,-1 
251005952,2623655475128272384,339.63696,-6.213715799999999,9.907,1,-1 
89547213,2390999811123588608,358.1054,-18.560091,9.33,1,-1 
422835641,2739498199165473920,359.60103,2.2979608,9.683,1,-1 
398552435,2708287457803120640,332.79958,5.2174515,10.282,1,-1 
332825272,2493286445846897664,33.943359,-2.6090178,9.461,1,-1 
38128400,3197753548744455168,68.48065,-8.3244159,10.434,1,-1 
422096998,2656650960084472320,342.6031,2.9804835,10.231,1,-1 
429052944,2577307864562003456,15.623738000000001,6.9984622000000005,9.345,1,-1 
293265982,2738999879879546752,2.1052855999999998,2.5151172,10.143,1,-1 
156215773,5113845146476653696,56.19689399999999,-14.269369000000001,9.767,1,-1 
10936618,3250959019490899840,55.277265,-1.7034057,10.425,1,-1 
257222038,2712471584878506496,342.91922999999997,7.0082173999999995,10.042,1,-1 
270432631,2513568007268649728,33.696690000000004,2.2389875,9.989,1,-1 
250328442,2625503165763607808,340.82045,-3.0518445,10.284,1,-1 
466336610,2702106351324960768,326.04318,9.0760106,10.914,1,-1 
23193695,5179904664065847040,47.26526,-7.065500900000001,9.854,1,-1 
287153961,2443101131678052480,0.45568058,-5.5077737,9.215,1,-1 
404487338,2727676456301311744,334.28281,11.946385000000001,10.958,1,-1 
164777021,5139447824484427904,27.372542,-19.013441,8.859,1,-1 
257556825,2741665405303366912,1.1805819,4.2895885,10.045,1,-1 
377043542,24667616384335872,36.947666,11.240921,10.15,1,-1 
248602766,2641618093513228800,358.10162,-0.93333074,10.007,1,-1 
265690918,2708000004232308096,334.36284,5.043861,10.817,1,-1 
382326499,5168681021169216896,52.37634,-7.1705119999999996,10.325,1,-1 
385141581,2590688680553786368,21.121669,15.510067999999999,9.689,1,-1 
269724428,3253302456727341696,61.894493000000004,-2.0758842,10.5,1,-1 
257328739,2712132690484051584,343.96943,7.5211678,10.658,1,-1 
71010570,3176016268285396864,65.396834,-14.024984,10.81,1,-1 
257160332,2721370344799405056,330.8342,6.855247599999999,10.872,1,-1 
248384545,2531732317316926336,18.882288,-2.8462327999999997,10.319,1,-1 
250315935,2652644133554470144,340.03648,-2.0577422,9.78,1,-1 
25001474,2462582789799726336,29.975307,-9.504615,10.356,1,-1 
257332489,2544524069954322816,8.256693700000001,2.1657300999999998,10.282,1,-1 
35841788,2495781619982992640,41.255161,-2.4295271,10.266,1,-1 
408233707,2968825259219765120,82.36886700000001,-19.299652,11.504,1,-1 
257605131,4844691297067063424,62.966384999999995,-37.93973,10.236,1,-1 
251088243,2496200774431287424,37.745135,-3.0513681,9.95,1,-1 
176283271,2429059676701547008,1.1080553,-9.1955784,10.745,1,-1 
12546422,5164508202742806784,51.969268,-10.643642999999999,10.314,1,-1 
80363380,4980826504625538048,9.5509658,-43.006896000000005,9.788,1,-1 
165219666,4842810376267950464,56.98454399999999,-41.940257,10.245,1,-1 
250348940,2649338761082702976,341.18051,-2.8929918999999997,10.525,1,-1 
313935081,2336552648151249280,0.76616887,-24.843884,9.951,1,-1 
37948770,3198734278756825856,66.6129,-7.6610243,10.936,1,-1 
354356785,2760973997717658624,352.16123999999996,8.6941519,10.521,1,-1 
175491080,5045955865443216640,45.195248,-37.133753999999996,9.765,1,-1 
257488841,2745159000421889792,0.42683827,5.8443532,10.449,1,-1 
262623409,2659252645113464320,348.58391,3.7782648,10.68,1,-1 
34086013,3193528950192619648,59.266535,-10.233594,10.772,1,-1 
146804027,3187547465200970368,71.551245,-7.5400982999999995,11.159,1,-1 
166741952,4863437248766008448,56.256640000000004,-31.852882,10.294,1,-1 
419879791,2709158614610269312,337.72887000000003,6.153843,11.114,1,-1 
121006547,5101127920110566528,55.20808,-19.395061,10.652,0,-1 
55406666,3245140743257978496,58.504369,-6.237393099999999,10.58,0,-1 
257570869,2551213292538579328,11.731981,4.3548855,10.385,1,-1 
12546421,5164508305822021248,51.980961,-10.637602000000001,10.851,1,-1 
344716096,2551974081570433280,15.70651,4.576724700000001,10.517,1,-1 
411517222,2799909177630458880,6.008782900000001,21.925716,11.259,1,-1 
248613540,3205573756476323328,65.97744,-2.5620515,11.021,0,-1 
283708485,1776592713522549376,332.25858999999997,18.9533,11.68,1,-1 
354263104,2664478280283853824,350.55192,6.362878599999999,10.78,1,-1 
55935823,3185678437170300800,68.678168,-8.9551395,11.301,1,-1 
217709907,2814781829038090752,345.84032,12.489921,11.193,1,-1 
55937757,3198123568764627456,68.809934,-8.259173200000001,11.199,0,-1 
92250588,5103353606523787008,49.51597,-19.737278,9.847,0,-1 
418919005,2682450102781782400,331.98837000000003,2.1999661,11.319,1,-1 
167485031,3187477818011309568,71.992325,-7.8236758,11.381,0,-1 
437759888,2855295156029714048,5.858739099999999,24.988685,11.433,0,-1 
354357209,2762554339524189952,352.15258,10.409508,10.985,1,-1 
442965496,3009905594911137664,81.62504200000001,-12.022538,11.93,1,-1 
404490535,2735880183139036800,334.47952000000004,16.317452,11.692,1,-1 
44647574,5083255496041631616,59.396162,-24.478374,10.547,1,-1 
169286118,2326464319728427264,356.25468,-31.530669,10.108,0,-1 
38613715,3243665031151732864,57.159503,-6.697934299999999,10.871,1,-1 
49732008,2440226561606657792,352.34032,-6.8898760999999995,11.258,0,-1 
37816550,3192643431015406464,65.47184399999999,-8.7211373,11.119,1,-1 
67643537,5029398079322118912,18.426474,-31.194322999999997,10.206,1,-1 
240720758,2596395760081700608,339.97303999999997,-16.606475,10.895,0,-1 
316915529,2979827384884386176,74.51043100000001,-17.174367999999998,11.717,1,-1 
34238114,3196687812738993152,61.500824,-6.8972137,11.198,0,-1 
