tic,name,ra,dec,tmag,ctl,sector 
2158,tic2158,218.76619,-26.408585,13.919,0, -1 
7154,tic7154,219.00667,-29.669107,12.873,0, -1 
27008,tic27008,219.73904,-26.614807,11.429,0, -1 
39358,tic39358,220.14174,-27.047495,13.411,0, -1 
58214,tic58214,220.77911,-24.517570000000003,12.372,0, -1 
59266,tic59266,220.81831,-26.285235999999998,15.802999999999999,0, -1 
61167,tic61167,220.75435,-29.019833000000002,12.839,0, -1 
81003,tic81003,221.38532999999998,-26.942684000000003,7.744,1, -1 
82094,tic82094,221.41707999999997,-25.39244,13.654000000000002,0, -1 
89991,tic89991,221.74027999999998,-26.752083000000002,13.001,0, -1 
134947,tic134947,223.0466,-28.2783,12.626,1, -1 
164844,tic164844,223.87059,-24.764817999999998,8.761000000000001,1, -1 
167843,tic167843,223.98117000000002,-28.381382000000002,12.511,0, -1 
590241,tic590241,71.64222,-26.465544,12.883,0, -1 
590274,tic590274,71.70628,-26.302422999999997,7.474,1, -1 
601765,tic601765,300.23373,-3.4930489999999996,10.094,1, -1 
601953,tic601953,300.18192,-3.3860080000000004,11.4,0, -1 
604736,tic604736,300.1586,-1.544597,10.542,0, -1 
612870,tic612870,72.6362,-24.2234,12.845999999999998,1, -1 
615133,tic615133,72.76599,-27.519732,8.089,1, -1 
615165,tic615165,72.76637,-27.430059999999997,13.21,0, -1 
704063,tic704063,300.49796000000003,-1.3963430000000001,12.321,0, -1 
803185,tic803185,130.35558,-25.643122,11.263,1, -1 
814846,tic814846,300.7368,-4.297014,13.280999999999999,0, -1 
935361,tic935361,130.66797,-28.565638,12.482000000000001,0, -1 
1008449,tic1008449,165.95398,-0.588599,12.056,0, -1 
1028816,tic1028816,33.83891,-7.126294000000001,8.43,1, -1 
1031299,tic1031299,33.9956,-9.4867,9.862,1, -1 
1100695,tic1100695,155.0034,28.9535,10.585,1, -1 
1122408,tic1122408,36.64931,-6.300547,12.264000000000001,0, -1 
1153194,tic1153194,187.5203,24.042742,13.242,0, -1 
1198988,tic1198988,71.42862,-33.805855,16.046,0, -1 
1220328,tic1220328,71.44754,-30.856731,13.924000000000001,0, -1 
