tic,name,ra,dec,tmag,ctl,sector 
601765,tic601765,300.23373,-3.4930489999999996,10.094,1, -1 
601953,tic601953,300.18192,-3.3860080000000004,11.4,0, -1 
604736,tic604736,300.1586,-1.544597,10.542,0, -1 
704063,tic704063,300.49796000000003,-1.3963430000000001,12.321,0, -1 
814846,tic814846,300.7368,-4.297014,13.280999999999999,0, -1 
1100695,tic1100695,155.0034,28.9535,10.585,1, -1 
1153194,tic1153194,187.5203,24.042742,13.242,0, -1 
1698803,tic1698803,273.67334,-1.576599,11.298,1, -1 
1777879,tic1777879,273.78204,-1.50715,11.850999999999999,0, -1 
1827590,tic1827590,78.58994,31.741429999999998,10.852,0, -1 
1832003,tic1832003,78.69196,30.199587,13.82,0, -1 
1832556,tic1832556,78.60765,30.017266999999997,11.62,0, -1 
1995169,tic1995169,258.6787,-7.938414,12.075,0, -1 
2010167,tic2010167,79.1833,35.73359,12.458,0, -1 
2060180,tic2060180,258.80484,-9.299185000000001,12.417,0, -1 
2102246,tic2102246,79.36784,31.778204,13.847999999999999,0, -1 
2158443,tic2158443,79.52235,31.007092,13.85,0, -1 
2184343,tic2184343,274.0383,-4.387443,15.913,0, -1 
2229801,tic2229801,79.66944000000001,30.58373,13.895,0, -1 
2364923,tic2364923,261.81622000000004,-8.364098,12.264000000000001,0, -1 
2365417,tic2365417,261.84542999999996,-8.569975,14.874,0, -1 
2388877,tic2388877,274.19583,-1.479545,12.49,0, -1 
2428658,tic2428658,79.9716,31.9927,10.828,1, -1 
2437291,tic2437291,80.07287600000001,35.801514000000005,8.738999999999999,1, -1 
2437302,tic2437302,80.0715,35.7956,13.32,1, -1 
2447729,tic2447729,261.9667,-11.746847,16.008,0, -1 
2634432,tic2634432,262.20807,-10.71337,10.882,1, -1 
2640693,tic2640693,262.16812000000004,-8.300861,10.883,1, -1 
2725198,tic2725198,262.39917,-8.948102,13.985,0, -1 
2851605,tic2851605,80.82571,31.157124,13.827,0, -1 
2951318,tic2951318,262.54504,-7.766508,14.713,0, -1 
3033448,tic3033448,82.14654,32.865992999999996,7.971,1, -1 
3035478,tic3035478,82.14519,33.662643,13.413,0, -1 
3048078,tic3048078,262.75995,-8.912362,14.45,0, -1 
3065075,tic3065075,289.68,-8.841878999999999,12.98,0, -1 
3275632,tic3275632,262.94347999999997,-8.739033000000001,12.512,0, -1 
3321204,tic3321204,82.642426,32.65598,9.184,1, -1 
3345423,tic3345423,263.01773,-9.242861999999999,12.806,0, -1 
3403454,tic3403454,289.95535,-8.062369,12.050999999999998,0, -1 
3505244,tic3505244,263.18665,-8.26188,13.854000000000001,0, -1 
3544318,tic3544318,82.802185,30.94365,11.615,0, -1 
3544322,tic3544322,82.80519,30.942518,14.895999999999999,0, -1 
3546661,tic3546661,83.05899000000001,30.089283000000002,11.147,1, -1 
3616562,tic3616562,263.28064,-9.283755000000001,15.217,0, -1 
3867393,tic3867393,263.71262,-11.762805,11.027999999999999,0, -1 
4525254,tic4525254,264.27554,-8.557766,15.119000000000002,0, -1 
4667622,tic4667622,181.09695,24.8207,9.361,1, -1 
4667801,tic4667801,181.09401,24.02146,14.445,0, -1 
4694452,tic4694452,181.36133999999998,26.339440000000003,12.245,0, -1 
4694453,tic4694453,181.3605,26.338271999999996,11.712,0, -1 
4694646,tic4694646,181.39777,25.02542,17.391,0, -1 
4696313,tic4696313,181.54703,26.838818,18.115,0, -1 
4699640,tic4699640,181.53325,24.354467,14.179,0, -1 
4701308,tic4701308,181.79997,26.061186,14.752,0, -1 
4701611,tic4701611,181.92406,24.216475,10.963,0, -1 
4701801,tic4701801,182.03839,24.72505,15.094000000000001,0, -1 
4701976,tic4701976,181.9905,25.58646,10.372,0, -1 
4718796,tic4718796,182.06963000000002,27.512802,13.735,0, -1 
4718981,tic4718981,182.1674,26.290523999999998,18.465999999999998,0, -1 
4720473,tic4720473,182.37291000000002,29.327140000000004,12.071,0, -1 
4734708,tic4734708,182.78076000000001,25.990246,8.949,1, -1 
4734816,tic4734816,182.76843,26.466375,16.715999999999998,0, -1 
4738909,tic4738909,183.10368,27.380067999999998,7.666,1, -1 
4739859,tic4739859,183.22183,26.2504,10.402999999999999,1, -1 
