tic,name,ra,dec,tmag,ctl,sector 
128116539,J1435-4209,218.87682,-42.157818,3.247,1, 
322928423,J1621-2535,245.29714,-25.592848,2.632,1, 
17554529,eps Tau,67.15464437,19.18028285,2.518,1, 
9921163,J1605-1948,241.35936,-19.805153,2.378,1, 
435911332,gam Tau,64.94885238,15.62754542,3.067,1, 
435926868,del Tau,65.733447,17.542584,2.867,1, 
125755072,Alcyone,56.8711523,24.1051357,2.844,1, 
402546736,* alf Cir,220.62479,-64.976145,2.846,0, 
245792850,tet01 Tau,67.14420039,15.96204307,3.35,1, 
390320354,J1215-5844,183.78629,-58.748886,3.045,1, 
245792896,tet02 Tau,67.16605166,15.87079036,3.615,1, 
224292240,del UMa,183.8565025,57.0326154,3.414,1, 
338104678,J1651-3802,252.96764,-38.047348,3.21,0, 
460532958,HD 91465,158.0059439,-61.68528861,3.622,0, 
333950446,J1459-4206,224.79041,-42.104218,3.34,0, 
243647020,J1349-4228,207.40417,-42.473755,3.515,0, 
113875184,del Ari,47.906957,19.726698,3.567,1, 
385220745,a Car,137.74203,-58.966894,3.517,0, 
166447153,J1349-4141,207.37618,-41.687683,3.7,1, 
59095516,J1600-3823,240.03051,-38.396679,3.466,0, 
168847194,* ups04 Eri,64.473915,-33.798371,3.727,1, 
346626216,J0349+2403,57.290709,24.053283,3.726,1, 
436872005,41 Ari AB,42.495972,27.260507,3.581,1, 
338105219,J1652-3801,253.08393,-38.017506,3.879,0, 
385509348,Electra,56.2189037,24.1133365,4.017,0, 
147883533,J1538-2946,234.66402,-29.777798,3.831,0, 
204191276,J1627-1827,246.75604,-18.456272,4.013,1, 
385589511,J0345+2422,56.45679037,24.36755389,4.039,1, 
161828468,J1606-2040,241.70178,-20.669123,4.162,1, 
17417633,ups Tau,66.57741757,22.81338905,4.079,1, 
359762838,J1358-4206,209.56787,-42.100727,4.383,0, 
450935207,J1121-5429,170.25176,-54.491039,4.007,0, 
49202232,J1611-1927,242.99893,-19.460587,4.177,0, 
98423184,Rukbat,290.9717385,-40.61643773,4.299,1, 
77541886,J1556-2912,239.22114,-29.2141,4.138,1, 
359916090,J1358-4448,209.6698,-44.803612,4.502,0, 
21165132,J1228-5013,187.00991,-50.230659,4.199,0, 
17387328,kap01 Tau,66.342078,22.293981,4.168,1, 
334217681,J1211-5222,182.91303,-52.368488,4.044,1, 
159589603,J1441-3747,220.48994,-37.793526,4.468,0, 
245904110,c Tau,69.539174,12.510874,4.205,1, 
261863003,J1254-5710,193.64846,-57.177917,4.365,0, 
289425857,J1437-4925,219.47179,-49.425735,4.187,1, 
259862349,HIP 12394,39.89832294,-68.26694695,4.411,1,1-2 
61139113,J0346+2356,56.581717,23.948279,4.24,1, 
60879864,71 Tau,66.586132,15.618346,4.364,1, 
309537028,J1218-6400,184.60957,-64.003044,4.369,1, 
450335368,31 Com,192.9246753,27.5407153,4.255,1, 
17409896,del03 Tau,66.372156,17.927989,4.428,1, 
138854185,32 Ori B,82.69633663,5.94823374,5.402,1, 
70041394,J1606-3648,241.64811,-36.802261,4.654,0, 
385509181,J0345+2428,56.302194,24.467167,4.62,1, 
211681133,J1631-3442,247.84561,-34.704277,4.585,0, 
245860427,rho Tau,68.461897,14.844487,4.552,1, 
244903149,J1306-4954,196.72769,-49.906269,4.695,0, 
455309397,J1451-4334,222.90956,-43.575428,4.642,0, 
69092280,iot Tau,75.773767,21.590062,4.501,1, 
245911976,sig02 Tau,69.818549,15.918024,4.875,1, 
229534764,78 UMa AB,195.1820812,56.3663362,5.639,1, 
179292555,J1406-4110,211.51152,-41.179634,4.677,0, 
361834361,* m Car,144.83717,-61.327962,4.724,1, 
333670665,J1208-5039,182.02182,-50.661297,4.987,0, 
33982930,HD 223352 AB,357.23144,-28.130271,4.846,1,2 
