tic,tmag,ra,dec,Mass,Teff
245786953,6.9044,66.899547443664,15.5891923900986,1.22,6158.4248
17232188,6.9316,65.0540278684022,19.2334786458702,1.21,6088.7943
60879815,6.9551,66.5243004386477,15.5243379101587,1.19,6085.174
373027194,6.9744,66.9419773427844,11.7364189908381,1.2,6075.6424
245902283,6.9806,69.3832625322118,15.1464529733554,1.27,5849.5496
435939639,7.0105,66.0519000085392,14.7582063375348,1.33,5853.9195
436651598,7.0866,72.6409200524865,15.0834334243837,1.24,5540.4252
59087638,7.2459,66.1180301542612,16.8861672983982,1.18,5896.6122
245792139,7.2787,67.2012429894774,17.2854683655144,1.15,5917.4886
311151814,7.2921,61.5671990966405,15.698120726225,1.15,5954.7483
245863570,7.3556,68.6471257320446,15.504623193593,1.14,5856.7311
60903678,7.4392,66.6025614425328,16.8533593978197,1.19,5745.7923
16048383,7.4515,63.634643214024,23.5749438937235,1.1,5769.2557
660068397,6.9009,66.4660232683611,18.8638944821426,,5661.707
60903802,7.5059,66.6671730937879,16.7469122727352,1.09,5744.5773
436590739,7.6903,71.6266101081727,15.4720413452351,1.07,5739.4185
435883224,7.5952,64.4122743383221,16.9478361165113,1.16,5345.6428
435907579,7.8073,64.7833669401139,17.5247551532236,1.05,5578.1419
245860592,7.7342,68.4939119841703,15.1636173790736,1.17,5178.9562
17554784,7.9568,67.1550665261308,19.7406896358945,1.04,5513.6335
17198787,7.942,64.7415603297239,19.9067016031416,1.03,5517.6092
245835422,7.9931,68.2477135819679,15.8189682272036,1.02,5501.7366
245819967,8.1214,67.6453258896776,15.7339999932107,1.16,5117.8812
17336696,8.1603,65.8430408620339,21.3790981871254,1.02,5483.415
61138899,8.1077,53.2086620890732,23.692187179582,0.99,5213.0331
245831726,8.1049,68.208824228832,16.0058365824394,1.06,5032.9873
245794704,8.2175,67.3816929950533,17.8931836328454,1.0,5286.0564
673692013,8.1679,66.4482761374011,18.0171931959663,1.01,4930.4874
242946125,8.1849,58.7770881700366,16.9984776943793,0.98,5090.2483
303760478,8.3034,75.7819076011576,13.7306700187837,1.03,5461.2951
18585208,8.2916,72.1755307610617,21.1010451537534,0.99,5197.3218
245800048,8.3222,67.4905338544801,16.6728409098739,0.98,5189.002
435930763,8.3488,65.8847215422895,14.6704783441181,0.99,5203.1383
17097407,8.4156,64.1394894536006,21.9074674908105,1.0,5320.0541
245873351,8.5995,69.021947352742,15.6840050241594,0.98,5173.6994
15757189,8.4871,61.4153125411284,17.9377117148869,0.93,5125.9454
113952263,8.5233,54.3957406305658,21.3431805177006,0.99,4950.5979
15939295,8.2687,62.9842519993019,23.6363239000633,1.05,4389.3952
660076297,8.5334,65.8451717039645,19.6587653439524,0.98,4962.5427
15902489,8.6295,62.1508776662433,23.7686110334993,0.93,5036.9752
372995004,8.4408,66.7010712663929,10.8710700392047,1.03,4643.989
456863710,8.6422,57.6040269150882,17.2465092334734,0.98,5047.3326
673588076,8.3867,70.1059614581464,16.5137215388498,1.19,4482.1136
245787510,8.6481,66.9459806253826,14.4177499228222,0.97,5020.1396
60005364,8.5718,72.3041083033918,24.8028410399179,1.04,4595.3888
245824893,8.6371,67.9046290566264,17.7096992904695,1.04,4827.7313
435903398,8.6988,64.580298018011,16.088331321546,0.88,4896.7988
436614427,8.6696,71.7060547609624,17.7483227472619,1.0,4805.6696
17099206,8.5825,64.2786373811102,22.6733148750875,,4326.5552
436567527,8.8942,70.8154330086789,17.0691823983332,0.87,4759.4194
348664634,8.9806,61.9299953888797,16.5187902203675,0.84,4755.0088
17383020,9.0109,66.0705823025266,18.002921043593,0.84,4684.2408
245937103,9.0104,69.9623858100611,12.7284782958166,0.81,4621.5602
14331880,9.1313,60.9126700667003,19.45501213865,0.84,4645.1013
242944633,9.1155,58.7560054455158,12.4855862140873,0.81,4613.5637
440701014,9.0915,57.7629790401205,23.9036506886148,0.78,4431.8704
18799303,9.2879,73.0980479744705,18.9969073509857,0.83,4640.2865
245787593,9.3589,66.8555772627475,14.2606678195367,0.86,4535.7157
245795626,9.2392,67.3791029230639,16.2447859431629,0.83,4462.9224
60874799,9.343,66.2510296344591,16.984897563941,0.85,4726.059
435928142,9.2851,65.8553344628532,15.7631243417705,0.76,4299.1325
389018596,9.3371,61.7551058882244,15.3350301185529,0.76,4405.6306
673502054,9.2447,66.6789405257456,12.6864669405355,,4029.9624
59873985,9.4439,71.9241688717955,26.1502281494631,0.79,
18543065,9.6319,71.8591169730808,23.0509226755261,0.8,4528.7534
61257910,9.464,68.404919143813,21.1508511527182,0.72,4294.932
436648713,9.4836,72.5029727984543,16.4120608975175,0.77,4446.1036
245792696,9.3537,67.21174852766,16.2890048700788,1.01,4095.9259
61259135,9.5514,68.4246957190368,19.0140341860843,0.75,4353.0751
17144636,9.6209,64.3547999492178,19.0299089539535,0.7,4319.1733
673634834,9.7314,67.9686342883083,15.4994814523261,0.67,4191.7833
389044637,9.90798,62.0462244453449,16.873087928663,0.61,3958.4272
245948461,9.6013,70.3736438908708,13.2212070391135,0.8,3876.958
408077437,10.0347,77.8306060642671,7.90892189658584,0.7,4318.2009
389042741,9.9081,62.1111140492083,12.1918462564431,0.63,4110.4892
373134703,10.1473,68.5464270582209,11.557954822035,0.64,3930.342
15756558,10.0317,61.3569604065312,19.4421517607585,0.63,4089.0624
434234748,10.1108,63.7933679485589,14.3984553871814,0.63,4042.9942
674103871,9.5239,72.0037582702133,17.056000783063,0.85,3891.6077
436655312,10.0437,72.7600869563572,14.9713012246443,0.61,3895.352
450082328,9.8511,71.8271198960895,6.45320702794672,0.62,3994.4069
673684407,10.3518,67.1198852849851,17.6959776489583,0.78,3638.0339
293894139,10.3318,77.7904386001691,15.8159323717583,0.79,3804.9722
