tic,name,ra,dec,tmag,ctl,sector 
387609654,   8479094371605632,45.0131417,7.7498463,7.082,-1,-1 
336587521,  11037726649058432,50.12263152,8.45447668,8.44953,-1,-1 
381362062,  29720761371785216,47.68155765,13.6431938,11.317,-1,-1 
242944633,  38354680725946240,58.75658414,12.48554217,9.04113,-1,-1 
435289808,  42716408993806080,53.14433968,16.15326441,11.635,-1,-1 
242946125,  43538293935879680,58.77775368,16.99837228,8.137,-1,-1 
114062707,  44894472808190720,55.48191697,18.75981317,11.128,-1,-1 
348664155,  45142206521351552,61.92550272,15.16268911,5.736,-1,-1 
389018596,  45159901786525568,61.75566301,15.33494415,9.28019,-1,-1 
311151814,  45367056650753280,61.56773092,15.69803558,7.278,-1,-1 
348664634,  45567511362945152,61.93054508,16.5186826,8.914,-1,-1 
389044637,  45968901826385024,62.04687349,16.87296136,10.045,-1,-1 
15933506,  46975436002187136,62.67706325,18.42312085,6.191,-1,-1 
15757189,  47019347749289216,61.41589317,17.93759385,8.443,-1,-1 
15816368,  47068207297219584,61.51002103,18.25076138,10.792,-1,-1 
435907579,  47345009348203392,64.78387715,17.52463437,7.758,-1,-1 
17309582,  47485609397541632,65.66540015,18.26918415,10.904,-1,-1 
17292477,  47541100375011968,65.38495322,18.41744468,6.364,-1,-1 
17095953,  47804394753757056,64.05521642,18.88436676,10.241,-1,-1 
17144636,  47813500084423296,64.35531347,19.02977997,9.546,-1,-1 
17409372,  47917816253918720,66.31112244,18.97345995,10.826,-1,-1 
17518009,  48000730595736960,66.98691123,19.0606996,10.076,-1,-1 
17554784,  48061409893621248,67.15553759,19.74052516,7.919,-1,-1 
17232188,  48203487411427456,65.05455009,19.23332589,6.908,-1,-1 
17198787,  49005581144118784,64.74207749,19.90654391,7.904,-1,-1 
17294823,  49231668222673920,65.38235449,21.0397221,6.37,-1,-1 
15756558,  50298125783225088,61.35751774,19.44201116,9.95275,-1,-1 
14331880,  50327297200978176,60.91322644,19.45486892,9.05916,-1,-1 
440688989,  50756411675761920,57.27565028,18.83656444,11.097,-1,-1 
14183480,  51383893515451392,59.80696458,20.42804912,12.543,-1,-1 
17097407,  52548241968465408,64.13997594,21.90730214,8.371,-1,-1 
14224878,  53257461329357312,59.80980537,22.04366758,12.134,-1,-1 
15902373,  53725750202606208,62.16786365,23.55713201,11.556,-1,-1 
15902489,  53942250914697472,62.15144047,23.76842474,8.575,-1,-1 
114060796,  65103668325506560,55.40450495,23.34353199,11.437,-1,-1 
440701014,  66482352830035840,57.7636977,23.90344384,9.02748,-1,-1 
427736349,  67351757289092224,58.17154351,25.80421569,9.716,-1,-1 
61138899,  68001499939741440,53.20942467,23.69201715,8.06,-1,-1 
427546985,  71487329756936320,54.78357115,28.38207406,9.615,-1,-1 
91354281,  98753362698701184,28.33745442,23.44475048,10.5,-1,-1 
306426710, 100254161710940928,32.84771512,21.37728832,6.689,-1,-1 
91437378, 108421608959951488,44.52283212,20.66859785,5.708,-1,-1 
29015116, 117654650480415744,50.6183182,27.15577566,9.4,-1,-1 
467578950, 125343573948444800,48.26258621,32.89618236,7.462,-1,-1 
34576133, 129070265532645888,44.44539811,29.66126857,8.088,-1,-1 
