tic,prot
410214986,2.85
168847194,0.773766686
270577175,1000
354671857,0.34375
140072112,0.265
245904110,1000
60879864,0.193119432
259862349,1000
245860427,1000
271503441,1000
142268253,1000
33982930,1000
245911976,1000
245794190,1000
280793949,0.250596793
146423464,0.335979436
298810162,1.839911675
408130113,0.458980273
33492996,1000
469974193,1000
9150015,1.513967749
415556221,1000
431380163,1000
345582306,1000
373415565,1000
245799490,1000
245819988,1000
52593512,1000
175400332,1000
450072850,1000
138854185,1000
396899912,1.310785567
382509773,1000
245820995,1000
245790062,0.443306511
152972531,0.799712075
355406799,1000
406345664,1000
245905821,1000
94945758,1.0070247
229012143,0.452499745
436661956,1000
31747041,1000
150322340,1000
311148485,0.865882964
452767166,1.150500518
33494267,0.440450626
149248196,0.513955281
88478795,1000
231061242,0.436885568
287842651,1000
401944429,1.31583103
31475829,1000
268119987,1000
245858382,1.047125353
245895478,0.44600562
450098574,1000
389121767,0.462916667
144596888,1000
215256883,1000
381003375,1000
365692096,1000
231626393,1000
375034557,1.688449848
435925799,1000
373052731,1000
283751025,1.904843549
340459410,1000
450077414,1000
406498177,1000
231005004,0.497499813
156427870,0.525005907
238196350,0.843797468
441420236,1000
238815210,0.957208501
436656073,1000
235037790,1000
445925825,1000
408012676,1.381411253
32500778,0.820834873
270377865,1000
369614946,1.873524452
245786953,1000
167699908,0.769124264
408042385,1000
29900813,1000
245902283,1000
176832633,1000
425934574,1000
373027194,1000
435939639,1000
49906916,1.029259631
20072435,0.946606078
139898417,1000
120462356,1000
231064749,1.710985626
290716988,1000
436651598,1000
160009706,1000
387609654,1000
373420313,1000
396860027,1000
436643589,1000
445925813,1000
173532792,1000
245826993,1000
150143137,0.51994852
270259954,1000
245863570,1000
250593544,1.363050813
464781371,1.985997319
318841562,1.180972628
282402573,1.479032616
245911057,1000
436658862,1000
441398770,0.781431335
340637365,1000
267537284,1.569578526
266746662,1000
434229836,1000
590274,0.88531775
21504987,1000
436590739,1000
10802452,1000
420980965,1000
245860592,1000
167756732,1000
321100028,1000
46386531,1000
23220549,1000
242990423,1000
434230605,1000
7445001,1.368507493
112603301,1.634624816
178969585,1000
319289907,1.239494236
206592394,1000
24451239,1000
149347480,1.883849089
245835422,1000
79403675,1000
220571983,1000
219998026,1000
270479402,1000
93122097,1.396459621
327667965,0.434847842
93372641,1000
150249155,1.081352908
266997586,1000
139285666,1000
471012663,0.688565231
220594926,1000
235058181,1000
350563576,1000
432613826,1000
53417036,1.527497709
448809197,1000
159898381,0.760568201
146522418,1000
78012819,1000
78012819,1000
245789646,1000
303760478,1000
260351540,1000
158595208,1000
261236136,1.880394922
389423271,0.380338345
425162657,1000
425940082,0.377121521
435930763,1000
452763353,1000
220473309,1000
284857969,1000
284857969,1000
158535216,1.966951903
158067487,1000
178938417,1000
375058105,1000
372995004,1000
176873028,1000
43728182,1000
270377903,1000
93126844,1.691234302
336587521,1000
141914082,1000
7586485,1.760929864
79403459,0.217672414
7444999,1.368507493
245873351,1000
220433363,0.427773856
245787510,1000
66534229,1000
401913214,1000
434101713,1000
9210746,1000
13955147,1000
224278523,1.788569895
166852312,0.519158879
245863402,1000
450060052,1000
345480097,1000
354571604,1000
332660498,1000
435910116,1000
247439806,1000
436640815,1000
44670258,1000
245937103,1000
399617812,1000
373420734,1000
325178532,1000
318785502,1000
234299476,1000
287405060,1000
60908053,1000
142178693,1000
242944633,1000
70596114,1000
278024057,1000
201426753,1.713844967
394210384,1000
161476008,1000
123975662,1000
348839788,0.272287237
348839788,0.272287237
44670257,1000
333680372,1000
119289797,1000
245787593,1000
159923666,1000
170867166,1000
198051539,1000
381458976,1000
436648713,1000
434233518,1000
308183430,1000
33593656,1000
79566479,1000
365424405,1000
140460192,1000
389167885,1000
404768019,0.722523304
435930498,1000
273789976,1000
409858786,1000
149935360,1000
55745232,1000
231867117,1.757911392
397046970,1000
245833065,1.483311081
161356637,1000
122723011,1.959435626
176852917,1000
201919099,1000
37606355,1000
246897668,1.370336109
259645014,1000
139412540,1000
150359500,1.033408263
231907973,1000
245829484,1000
303527975,1000
389042741,1000
156084049,1000
326205407,1000
35863853,1000
166808151,0.739721467
166852313,0.519158879
231914259,1.433548387
406277015,1000
259573397,1000
24720349,1.092876465
170766490,1000
269115609,1000
434234748,1000
293507177,0.569621876
394137224,1000
265206385,0.595417802
269940990,0.98858075
179040880,1000
235056185,1000
117874959,1000
71274771,1000
93088834,1000
21627442,1000
77959676,1.696830851
7242537,1.117893678
33937224,1000
29900215,1.060114504
325525541,1000
60879587,1000
234290432,1000
373431012,0.498952096
399921170,1000
251845153,1000
389726031,1000
464779505,1.460081043
219147916,1000
302965929,1000
65483825,1000
101963752,0.373958655
403237836,0.426883545
441507746,1000
449144868,1000
422692632,1000
422692632,1000
251845156,1000
382552502,1.153087701
29853348,0.703201646
78109730,1.849868184
89257479,1.125253207
153713422,1000
422692635,1000
422692635,1000
112603237,0.698412698
140478471,0.776696767
294754396,1000
234299628,1000
117748478,0.61029984
143209291,0.368450144
445926678,1000
366499976,1000
234506911,1000
176842025,0.682607137
201753428,1.598944591
229807000,0.374504902
20144774,1000
355766445,1000
98853135,1000
179034959,1000
201938513,1000
24587624,1000
165941376,1000
311127588,1000
78055893,1000
78055893,1000
78055893,1000
78055893,1000
220622233,1000
183820069,1000
142052876,0.560592044
122671519,0.450511945
170634461,1000
170634461,1000
71446322,1000
52914409,1000
20144775,1000
422653412,1.997602637
381949410,1000
401945770,0.687181073
161476011,1000
121007796,1000
231020638,1.639852399
273416539,1.647756767
17776275,1000
309550843,1000
307440881,1000
152872186,0.653465347
290496318,0.985730129
259845346,1.985997319
340703767,1000
153713427,1000
142369351,1000
396731889,1.560028083
201795667,1.281307064
49593799,1000
13135619,1000
345454031,1000
40047077,0.887616511
425933644,0.48617898
33864387,1000
290076869,1000
281670243,1.782352941
142015852,1000
308542808,1000
427540754,1000
272550631,1000
12509218,0.836911488
237885807,0.457342801
156002545,0.352857105
201897406,1000
201897406,1000
461720465,1000
117874958,1000
220556639,0.594727216
77835048,0.659347181
77835048,0.659347181
77835048,0.659347181
77835048,0.659347181
160008866,0.341006753
281631603,1000
293613670,1000
259542669,1000
25192164,1000
219229275,1000
197963243,1000
24293836,1000
404484288,0.44426672
269829656,0.737063246
148101333,1000
452357628,1000
206544316,0.32195122
220391763,0.587571617
46739994,0.436885568
46739994,0.436885568
46739994,0.436885568
46739994,0.436885568
68070930,1000
24448282,1000
173177973,1000
274017928,1000
115347396,1000
53062654,0.550954624
200368439,1000
13324350,0.756082346
389727431,1000
422947065,1000
434131573,1000
278731274,0.49846706
410421717,0.984783572
325220989,1.596455514
387609278,1000
234284556,1.107033131
366323063,0.589937608
161576005,0.972641716
31780319,1.322619048
201898220,0.567729847
201898220,0.567729847
308542258,1.407962826
100510452,1000
232064182,0.720999405
232064182,0.720999405
44793998,1000
44793998,1000
44793998,1000
44793998,1000
220523369,1.289361702
13020091,1.37955298
14230584,1000
120459265,1000
408256539,1.150500518
25118964,1.01802077
139984208,1.051419558
175298549,1.194730711
234506344,1.006036825
53688674,1000
101103091,1000
231910539,0.550363276
261560580,0.830809497
141212720,1.518451025
230982053,0.710017575
340638718,0.900871681
234333175,0.515764633
67630561,0.633680308
150068381,0.534027639
178155030,0.486409573
152970890,1000
278825715,1000
345449475,1.567179969
345449475,1.567179969
238813187,0.175534226
130515176,1000
229147922,1.025144175
232067276,1000
219993473,0.697937389
59085023,1.319216307
175397236,1000
149838027,0.537104182
116157661,0.858633348
158596311,0.154625903
373453516,1000
283824622,1000
166934491,1000
22766740,0.332925459
220617943,0.291977837
365694949,0.699365263
24401034,0.974490169
65516102,1000
165184400,0.663184599
219396049,1000
