tic,name,ra,dec,tmag,ctl,sector,prob 
163898014,4054476890096261376,262.82044869362403,-33.3463581553091,8.12,-1,-1,0.2204366302073812 
101469203,4055337846375332096,263.397172471281,-31.074039660507196,12.797,-1,-1,0.21441826090120583 
107558490,4056927083036405504,265.089126748277,-30.220821115650896,8.498,-1,-1,0.25775534206271633 
201993910,4057019515047532416,265.14405687794107,-29.628946964233613,10.08,-1,-1,0.3560755060724337 
158130543,4057839682008841984,261.0384352698011,-31.9554586415132,12.726,-1,-1,0.24045144724916542 
158364890,4057846210342377600,261.151747236787,-31.8804318132666,10.249,-1,-1,0.4581598806285219 
159256188,4057880673178500608,261.5206462724799,-31.534224733347806,13.042,-1,-1,0.28994713792970706 
163772030,4057931864864738432,262.89171877187897,-31.3733333774134,13.489,-1,-1,0.37721208745359036 
157499243,4058084014122402048,260.95619539080906,-31.329545227647,13.611,-1,-1,0.315076740075139 
101328695,4058318102685345408,263.246802419445,-31.0324567973596,13.415,-1,-1,0.25467070037069994 
186897117,4058714682786732416,262.170649946836,-29.6458080142166,12.543,-1,-1,0.28569037987819007 
81129954,4059212009982631936,259.5957238152769,-29.874600442969598,7.326,-1,-1,0.4213931259026551 
81031852,4059287876365994112,259.3742525201319,-29.4931643812924,13.054,-1,-1,0.4229154601950105 
84259891,4059328278996279424,260.49528422001697,-29.542350576558896,13.395,-1,-1,0.4021231728854238 
86849018,4059451841000300544,261.3734842750501,-29.6707723730298,6.594,-1,-1,0.45767814520929007 
88547365,4059649375182445440,261.818756521924,-28.770270010768392,7.728,-1,-1,0.3453526879539049 
89468007,4059659644318105088,262.1293118636341,-28.5239486206517,13.405,-1,-1,0.20853594016666213 
85062000,4059744444143982080,260.7610636682009,-28.864837940292897,11.694,-1,-1,0.2140461762226395 
85065074,4059731391851786368,260.7041221635549,-29.0989624296277,13.238,-1,-1,0.40005834722666483 
86613383,4059982763296282752,261.30091767277,-27.615005823312902,12.578,-1,-1,0.31365035459555096 
88421656,4061492053533312256,261.738531971023,-27.3604815728269,10.718,-1,-1,0.0 
78812418,4107420475257230464,258.65281902943195,-28.808450105886898,13.011,-1,-1,0.45331981682528943 
80246797,4107447340237608960,259.195112519446,-28.935025081531396,11.287,-1,-1,0.5032868368544642 
80491425,4107506507707072512,259.33908191651403,-28.611584997675003,9.483,-1,-1,0.8103240115521966 
78800499,4107835605277155840,258.63546625882196,-27.5194687001897,10.795,-1,-1,0.30725171714952104 
82423544,4107970712142789760,259.982774652341,-27.6682080056491,13.433,-1,-1,0.5007989255748039 
83572005,4108329187285480704,260.35823205746505,-26.501344461026694,7.429,-1,-1,0.4015114251811864 
82412859,4108350799564824832,260.0038486817271,-26.6094068447537,7.724,-1,-1,0.211297460092126 
82413276,4108351795997566848,259.9068427841911,-26.647966692490396,13.104,-1,-1,0.3918145749243905 
83735022,4108385846503209728,260.4068887100231,-26.282221466014196,13.525,-1,-1,0.3383208469302047 
23292066,4108509365385454464,257.08874377691,-27.772526471341408,12.792,-1,-1,0.26040812515965933 
23292464,4108533073605197184,257.11526307007597,-27.725811003541303,11.643,-1,-1,0.24580401347172454 
23772735,4108535861150814976,257.26250174292403,-27.5842743650983,13.756,-1,-1,0.3316073784779 
23772616,4108541049472304384,257.313112762076,-27.571299644692193,17.975,-1,-1,0.2129812566200392 
78158942,4108592726457001728,258.31724420293307,-27.3698992184765,12.951,-1,-1,0.24584482536996455 
25012105,4108623100467334400,257.817964504588,-27.420809251907393,13.478,-1,-1,0.2517094195404033 
25011943,4108624195634062464,257.767151114181,-27.3832857949501,12.295,-1,-1,0.2941262868541332 
25010780,4108636363326438528,257.828129932381,-27.2197812657535,10.999,-1,-1,0.005056921341591292 
22430649,4108749986638766464,256.800975076891,-27.2271648355,10.719,-1,-1,0.23007853259180125 
21202903,4108767170874664832,256.1985210182071,-27.373286755137098,12.248,-1,-1,0.5999474589934197 
24285140,4108899077920103680,257.598539192399,-26.3765376716443,10.049,-1,-1,1.5629523178955715e-28 
80867110,4109018477995909504,259.41394285474695,-26.627619894190804,8.627,-1,-1,0.27147826881740517 
80867125,4109018477995907840,259.4146762576829,-26.629124294257398,6.942,-1,-1,0.6716775900541607 
80106997,4109185225816637312,259.195276366202,-26.150097771828406,13.522,-1,-1,0.5705893203644465 
325326140,4109366851391759616,258.00494333075994,-25.6817714489593,7.809,-1,-1,0.4039146190859517 
79339468,4109508550940260608,258.90117735920103,-25.09109600525,13.525,-1,-1,0.44244638311213064 
78666496,4109523836661413760,258.608880979261,-24.9037855795401,12.887,-1,-1,0.4621263239942855 
86600943,4109621899353436288,261.320790667633,-26.509181626634806,11.844,-1,-1,0.4094149353386467 
83739207,4109911659432461056,260.37056905547,-25.8508396970876,12.862,-1,-1,0.5613454960104847 
82908908,4110668668783786112,260.10664594464595,-25.687598579925,11.85,-1,-1,0.48625250206911497 
80756317,4110963720202712576,259.382782061657,-24.9077211572043,13.064,-1,-1,0.44577237604010544 
80592165,4110963857641139200,259.33569242643904,-24.901259556324305,12.889,-1,-1,0.43671165028304754 
80757848,4110947364966488704,259.39308681632394,-25.1052736189196,8.753,-1,-1,0.43130178256567636 
79336525,4111031340173936000,258.905534682942,-24.6917572123249,10.973,-1,-1,4.767429602803145e-23 
79336460,4111031546332376576,258.8975918485579,-24.681947464212907,13.176,-1,-1,0.2632339159986077 
20589539,4111924998255460736,255.944587572113,-26.101310577965602,13.444,-1,-1,0.3327379479369716 
21560116,4111950974216689024,256.38955052707706,-26.2472682806907,12.048,-1,-1,0.21913240805948073 
