   TIC_ID ,                 RA ,                 Dec ,    Tmag ,                  Other-Name
17554529,67.15464437,19.18028285,2.518,                   eps Tau
279316667,332.05825,-46.960941,2.521,                 HD 209952
219974785,306.41195,-56.735081,2.804,                HIP 100751
402546736,220.62479,-64.976145,2.846,                 * alf Cir
435926868,65.733447,17.542584,2.867,                   del Tau
327150358,189.29594,-69.135559,2.969,                J1237-6908
435911332,64.94885238,15.62754542,3.067,                   gam Tau
128116539,218.87682,-42.157818,3.247,                J1435-4209
245792850,67.14420039,15.96204307,3.35,                 tet01 Tau
245792896,67.16605166,15.87079036,3.615,                 tet02 Tau
168847194,64.473915,-33.798371,3.727,               * ups04 Eri
270577175,86.821179,-51.066517,3.82,                  Beta Pic
354671857,34.12746,-51.512154,3.821,                HD 14228 A
140072112,57.149465,-37.620171,3.889,                 HIP 17797
289425857,219.47179,-49.425735,4.187,                J1437-4925
245904110,69.539174,12.510874,4.205,                     c Tau
98423184,290.9717385,-40.61643773,4.299,                    Rukbat
60879864,66.586132,15.618346,4.364,                    71 Tau
259862349,39.89832294,-68.26694695,4.411,                 HIP 12394
17409896,66.372156,17.927989,4.428,                 del03 Tau
69092280,75.773767,21.590062,4.501,                   iot Tau
245860427,68.461897,14.844487,4.552,                   rho Tau
464405850,281.36214,-64.871254,4.588,               HIP 92024 A
271503441,7.886125,-62.958256,4.618,                 bet01 Tuc
361834361,144.83717,-61.327962,4.724,                   * m Car
435938457,66.023724,17.444212,4.732,                 del02 Tau
142268253,39.949958,-42.891676,4.808,                     s Eri
33982930,357.23144,-28.130271,4.846,              HD 223352 AB
245911976,69.818549,15.918024,4.875,                 sig02 Tau
98306472,244.57457,-28.61397,4.901,                   HR 6070
18754028,72.84395923,18.83971152,4.943,                     i Tau
245819720,67.639871,16.194076,4.953,                   HR 1427
435916016,65.15102,15.095504,4.989,                    58 Tau
245794190,67.208754,13.047639,5,                     b Tau
280793949,359.39615,-64.298241,5.002,                HIP 118121
146423464,75.356586,-20.051921,5.003,                   HR 1621
298810162,69.400543,-2.473564,5.024,                    51 Eri
408130113,35.507054,-10.777889,5.039,                  HD 14691
33492996,26.412804,-25.05152,5.12,               * eps Scl B
