tic,name,ra,dec,tmag,ctl,sector 
17554529,eps Tau,67.15464437,19.18028285,2.518,1, 
279316667,HD 209952,332.05825,-46.960941,2.521,1, 
219974785,HIP 100751,306.41195,-56.735081,2.804,1, 
402546736,* alf Cir,220.62479,-64.976145,2.846,0, 
435926868,del Tau,65.733447,17.542584,2.867,1, 
327150358,J1237-6908,189.29594,-69.135559,2.969,0, 
435911332,gam Tau,64.94885238,15.62754542,3.067,1, 
128116539,J1435-4209,218.87682,-42.157818,3.247,1, 
245792850,tet01 Tau,67.14420039,15.96204307,3.35,1, 
245792896,tet02 Tau,67.16605166,15.87079036,3.615,1, 
168847194,* ups04 Eri,64.473915,-33.798371,3.727,1, 
270577175,Beta Pic,86.821179,-51.066517,3.82,1, 
354671857,HD 14228 A,34.12746,-51.512154,3.821,0,2
140072112,HIP 17797,57.149465,-37.620171,3.889,1, 
289425857,J1437-4925,219.47179,-49.425735,4.187,1, 
245904110,c Tau,69.539174,12.510874,4.205,1, 
98423184,Rukbat,290.9717385,-40.61643773,4.299,1, 
60879864,71 Tau,66.586132,15.618346,4.364,1, 
259862349,HIP 12394,39.89832294,-68.26694695,4.411,1,2-Jan
17409896,del03 Tau,66.372156,17.927989,4.428,1, 
69092280,iot Tau,75.773767,21.590062,4.501,1, 
245860427,rho Tau,68.461897,14.844487,4.552,1, 
464405850,HIP 92024 A,281.36214,-64.871254,4.588,0, 
271503441,bet01 Tuc,7.886125,-62.958256,4.618,1,2-Jan
361834361,* m Car,144.83717,-61.327962,4.724,1, 
435938457,del02 Tau,66.023724,17.444212,4.732,1, 
142268253,s Eri,39.949958,-42.891676,4.808,1, 
33982930,HD 223352 AB,357.23144,-28.130271,4.846,1,2
245911976,sig02 Tau,69.818549,15.918024,4.875,1, 
98306472,HR 6070,244.57457,-28.61397,4.901,1, 
18754028,i Tau,72.84395923,18.83971152,4.943,1, 
245819720,HR 1427,67.639871,16.194076,4.953,1, 
435916016,58 Tau,65.15102,15.095504,4.989,1, 
245794190,b Tau,67.208754,13.047639,5,1, 
280793949,HIP 118121,359.39615,-64.298241,5.002,1,1
146423464,HR 1621,75.356586,-20.051921,5.003,1, 
298810162,51 Eri,69.400543,-2.473564,5.024,1, 
408130113,HD 14691,35.507054,-10.777889,5.039,0, 
33492996,* eps Scl B,26.412804,-25.05152,5.12,0, 
469974193,bet03 Tuc,8.182978,-63.031479,5.121,1,2-Jan
438516148,HD 48097,100.60136,17.645309,5.134,1, 
86140963,HD 165189,271.7079,-43.4252194,5.161,1, 
9150015,HD 25457,60.653126,-0.26885,5.178,1, 
415556221,h Ori,77.331685,9.8295977,5.204,1, 
431380163,* iot Hyi,48.992515,-77.388185,5.21,1,2-Jan
345582306,HD 29499,69.77606143,7.870986646,5.211,1, 
373415565,HR 1507,71.107373,11.146169,5.232,1, 
245799490,80 Tau,67.535554,15.637899,5.242,1, 
245819988,81 Tau,67.66248584,15.69177672,5.279,1, 
52593512,122 Tau,84.265457,17.040409,5.313,1, 
453510797,J1341-5433,205.43658,-54.559418,5.315,1, 
435927648,63 Tau,65.85416,16.777327,5.321,1, 
175400332,* phi Gru,349.54191,-40.82489,5.349,0,2
467341330,J1112-6410,168.18834,-64.169762,5.366,1, 
435910664,h Tau,64.99093041,14.03512338,5.378,1, 
450072850,HD 30210,71.50752092,11.70554985,5.38,1, 
241660076,J1352-5248,208.02026,-52.81152,5.389,1, 
457557304,J1430-4931,217.5873,-49.51907,5.393,1, 
138854185,32 Ori A,82.69608703,5.947978907,5.402,1, 
20319492,TWA 43,167.18334,-28.080677,5.413,1, 
396899912,45 Tau,62.834149,5.523035,5.417,1, 
382509773,HR 3070,117.3037564,-60.2836879,5.431,1,1
17516667,HD 28226,67.003007,21.620006,5.437,1, 
17388998,HD 27901,66.23848293,19.04186487,5.479,1, 
435923755,60 Tau,65.51514757,14.0771094,5.487,1, 
245820995,83 Tau,67.65613572,13.72432296,5.489,1, 
245790062,76 Tau,67.097236,14.741026,5.559,1, 
242940550,HR 1201,58.291494,17.327156,5.603,1, 
152972531,HD 20121 A,48.10727325,-44.4196648,5.605,1, 
323246065,eta Cha,130.3313062,-78.9633602,5.614,1, 
355406799,HD 57852,110.0890099,-52.31091536,5.632,0, 
14255247,HD 25202,60.20375841,18.19388379,5.634,0, 
406345664,HIP 108195 A,328.79752,-61.886658,5.641,1,1
245825957,85 Tau,67.965388,15.851639,5.65,1, 
157324520,HD 102438,176.81454,-30.287492,5.663,0, 
435915513,HD 27483,65.22012711,13.86437441,5.712,1, 
17233245,HR 1354,65.10510793,18.74249984,5.722,1, 
245905821,89 Tau,69.539068,16.033389,5.723,1, 
348664155,J0407+1509,61.92548439,15.16269248,5.736,0, 
94945758,AF Lep,81.76991924,-11.9011682,5.771,1, 
68256179,J1612-2825,243.06691,-28.417313,5.784,1, 
93239342,HIP 26966,85.84038077,-18.55753138,5.801,1, 
229012143,HD 203,1.709132433,-23.10773726,5.811,1,2
144221009,TWA 11 A,189.00431,-39.869503,5.815,1, 
297138738,HD 108799,187.51872,-13.393391,5.821,0, 
436661956,HD 30869,72.95870142,13.65501377,5.855,1, 
277674241,J1550-5312,237.5295,-53.20977,5.868,1, 
179905128,J1419-3700,214.84953,-37.002872,5.908,1, 
434237029,48 Tau,63.94335147,15.40060663,5.911,1, 
301842094,HD 155555 A,259.3560443,-66.95160838,5.924,1, 
452468734,HD 80950,139.36439,-74.734435,5.926,1, 
31747041,HD 20888,49.49675642,-66.92679517,5.936,1,2-Jan
150322340,HD 45270 AB,95.62882422,-60.21838242,5.944,1,2-Jan
311148485,HD 25102,59.91932977,10.33037833,5.951,1, 
378035923,J1019-6440,154.76283,-64.681076,5.957,0, 
378035923,J1019-6440,154.77064,-64.676079,5.957,1, 
60876325,70 Tau,66.40595649,15.94091486,5.971,1, 
452767166,HD 28736,68.02050517,5.410073615,5.976,1, 
80302288,J1100-5149,165.03454,-51.817791,6.033,1, 
456892231,HD 28363,67.24948431,16.15897598,6.035,1, 
450784713,J1228-6420,187.08027,-64.340958,6.046,1, 
33494267,HD 10863,26.504861,-27.349019,6.046,1, 
149652741,J1532-3837,233.01747,-38.622555,6.048,1, 
149248196,AB Dor Aab,82.1873402,-65.44801094,6.049,0,2-Jan
68646689,HD 31236,73.74345075,19.48526628,6.053,1, 
88478795,HR 943,46.96218523,-27.83122781,6.06,1, 
245819740,HD 28568,67.69548717,16.14854171,6.06,1, 
308769611,J1217-6541,184.27631,-65.693008,6.065,1, 
231061242,HIP 9685,31.14706317,-54.88178815,6.067,1,2
287842651,HD 37306,84.286637,-11.775611,6.094,1, 
401944429,J0350-0131,57.56778191,-1.522470374,6.1,1, 
